time,distance
1523035599.265805,94.240000
1523035599.275639,94.203000
1523035599.334380,94.198000
1523035599.344081,94.164000
1523035599.404733,94.134000
1523035599.414387,94.106000
1523035599.424814,94.053000
1523035599.484403,94.075000
1523035599.494165,94.029000
1523035599.554331,94.014000
1523035599.564101,93.963000
1523035599.573941,93.927000
1523035599.634234,93.920000
1523035599.644011,93.859000
1523035599.702958,93.860000
1523035599.712646,93.835000
1523035599.773053,93.813000
1523035599.782880,93.777000
1523035599.792702,93.766000
1523035599.852794,93.743000
1523035599.862432,93.739000
1523035599.922910,93.704000
1523035599.932590,93.681000
1523035599.942802,93.636000
1523035600.002611,93.632000
1523035600.012344,93.586000
1523035600.071539,93.551000
1523035600.081316,93.558000
1523035600.091179,93.481000
1523035600.151249,93.504000
1523035600.160922,93.434000
1523035600.221350,93.403000
1523035600.231047,93.387000
1523035600.243115,93.343000
1523035600.300987,93.336000
1523035600.310726,93.307000
1523035600.371153,93.272000
1523035600.381381,93.258000
1523035600.392356,93.215000
1523035600.449702,93.201000
1523035600.459381,93.191000
1523035600.519832,93.123000
1523035600.529518,93.129000
1523035600.539888,93.096000
1523035600.599362,93.063000
1523035600.609113,93.015000
1523035600.669445,92.983000
1523035600.679216,92.964000
1523035600.689080,92.931000
1523035600.749310,92.936000
1523035600.759003,92.890000
1523035600.818128,92.863000
1523035600.837166,92.837000
1523035600.847979,92.805000
1523035600.897701,92.796000
1523035600.907400,92.760000
1523035600.967861,92.759000
1523035600.977593,92.749000
1523035600.987404,92.697000
1523035601.047620,92.705000
1523035601.057293,92.661000
1523035601.117753,92.637000
1523035601.127977,92.617000
1523035601.139015,92.572000
1523035601.196159,92.581000
1523035601.205854,92.517000
1523035601.266309,92.485000
1523035601.275983,92.455000
1523035601.286399,92.400000
1523035601.346283,92.421000
1523035601.359995,92.345000
1523035601.416114,92.353000
1523035601.425958,92.326000
1523035601.435832,92.271000
1523035601.496428,92.257000
1523035601.506333,92.226000
1523035601.564677,92.216000
1523035601.584471,92.177000
1523035601.634732,92.149000
1523035601.644550,92.134000
1523035601.654787,92.093000
1523035601.714422,92.082000
1523035601.724205,92.027000
1523035601.784596,92.032000
1523035601.794338,92.003000
1523035601.804115,91.932000
1523035601.864347,91.968000
1523035601.874044,91.922000
1523035601.933207,91.876000
1523035601.942930,91.865000
1523035601.955061,91.831000
1523035602.012886,91.814000
1523035602.022601,91.773000
1523035602.083043,91.739000
1523035602.092829,91.731000
1523035602.102658,91.712000
1523035602.162766,91.686000
1523035602.172428,91.661000
1523035602.232785,91.634000
1523035602.242425,91.623000
1523035602.252752,91.588000
1523035602.311158,91.578000
1523035602.320865,91.531000
1523035602.381437,91.497000
1523035602.391678,91.498000
1523035602.402710,91.445000
1523035602.461196,91.466000
1523035602.470874,91.414000
1523035602.531252,91.397000
1523035602.541451,91.376000
1523035602.551567,91.358000
1523035602.610941,91.352000
1523035602.620623,91.345000
1523035602.679824,91.309000
1523035602.689502,91.337000
1523035602.699399,91.315000
1523035602.759506,91.327000
1523035602.769177,91.318000
1523035602.829634,91.305000
1523035602.839733,91.318000
1523035602.849984,91.332000
1523035602.909123,91.395000
1523035602.918869,91.328000
1523035602.979362,91.320000
1523035602.989147,91.322000
